ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Jund,-0.504911756,9.897467206,,0.00039748,0.111493255,
Magee2,-0.563806356,9.032219654,,0.011600138,0.463202885,
Surf4,-0.563192778,9.113015099,,0.015300249,0.48938812,
Erf,-0.562488902,9.072981233,,0.016953898,0.517914404,
3110070M22Rik,0.639676296,9.003691846,,0.000426011,0.116432115,
Nvl,-0.558691239,9.119029399,,0.015426745,0.48938812,
Tmem132d,-0.558660473,9.038795722,,0.014245525,0.482041425,
Slc4a7,-0.558630378,9.038934762,,0.014245525,0.482041425,
Sos1,-0.55776535,9.038761351,,0.014245525,0.482041425,
Hspa8,0.340146667,11.02508328,,0.000438878,0.116949978,
P2rx7,-0.554920658,9.038416213,,0.014245524,0.482041425,
Tbcc,-0.554915512,9.17013828,,0.011834813,0.463202885,
Vamp4,-0.553953969,9.206940629,,0.008754547,0.418136572,
1700021F05Rik,-0.553888104,9.13163546,,0.015494861,0.48938812,
Rbms1,0.802814439,9.058586443,,0.000452663,0.117681263,
Sprn,-0.553345709,9.092753221,,0.018867639,0.525034595,
Ogfrl1,-0.5530943,9.131479209,,0.015494861,0.48938812,
Shd,-0.552699236,9.092477114,,0.018867639,0.525034595,
Arfgef1,-0.552662265,9.092627896,,0.018867639,0.525034595,
Gskip,-0.549054562,9.098610883,,0.019224875,0.525034595,
Zfand3,-0.548062131,9.098317074,,0.019224875,0.525034595,
Exoc8,-0.547883666,9.051710869,,0.018526871,0.525034595,
Echdc1,-0.547857719,9.098660386,,0.019224875,0.525034595,
Sypl,-0.546758582,9.187797302,,0.011343045,0.461471441,
Psmd9,-0.546563817,9.223880797,,0.008270721,0.411644195,
Mrs2,-0.546358554,9.010286009,,0.004423557,0.317498006,
Usp47,-0.545439411,9.058318784,,0.02017134,0.525034595,
Zfp651,-0.80792736,9.049675339,,0.000480132,0.121850583,
Trmt10c,-0.54459087,9.10449775,,0.019469022,0.525034595,
Xrcc1,-0.544144893,9.058151896,,0.02017134,0.525034595,
Arl2,-0.758190011,9.189964213,,0.000508316,0.126003253,
Alg6,-0.543841575,9.104534462,,0.019469022,0.525034595,
Pdzd2,-0.542498049,9.156216708,,0.015086858,0.48938812,
Pstk,-0.542104073,9.11109402,,0.019614345,0.525034595,
Haghl,-0.541512348,9.366855771,,0.002878126,0.266764737,
Parp2,-0.541444276,9.110552772,,0.019614345,0.525034595,
Slc15a2,-0.540475344,9.064678621,,0.021517173,0.542202235,
Fbxo2,-0.539939134,9.338191188,,0.003472541,0.286928829,
Ndn,0.626933436,9.410876455,,0.000530781,0.128539949,
