ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Rsrc2,0.380500927,9.135232859,,0.036829755,0.624438667,
Qdpr,0.536955223,8.631284022,,0.036875936,0.624438667,
Rab10,0.353050815,9.734407529,,0.037033706,0.624438667,
Mt1,0.385539428,9.916728406,,0.037058628,0.624438667,
Ndufaf2,0.518414956,8.521653186,,0.03741747,0.624438667,
Vps37b,0.422972831,8.7963415,,0.03753631,0.624438667,
43347,0.520837596,9.22534969,,0.037893419,0.624438667,
Rab5a,0.359461237,9.268915636,,0.038353591,0.624438667,
Specc1,0.552220898,8.599666914,,0.038966099,0.625846049,
Arpc1b,0.596586178,9.326315797,,0.039103488,0.626954705,
Sdcbp,0.496867163,8.459253822,,0.03918275,0.627129142,
Nav1,0.402980704,9.045969149,,0.039552262,0.631940415,
Yaf2,0.380258024,8.986365298,,0.039686975,0.632746706,
Agpat5,-0.50300453,8.460008278,,0.039740716,0.632746706,
Psat1,0.397957757,9.044123668,,0.040707769,0.644785743,
Fbxo8,0.502455962,8.507122711,,0.040878907,0.646380099,
Glrb,0.366719871,9.537175364,,0.041041047,0.647081296,
Efcab14,0.372617075,9.188932224,,0.041095614,0.647081296,
Fbxl5,0.519162361,8.437599772,,0.041188722,0.647081296,
Ctsb,0.363741985,9.64435894,,0.041486439,0.648231627,
Ablim2,0.554776666,8.426174623,,0.041490782,0.648231627,
Fyttd1,0.455893513,8.550800597,,0.041664254,0.648802322,
Eif3a,0.433237021,8.775284847,,0.042333622,0.652506965,
Calm2,0.301082973,9.678965143,,0.042431011,0.652910737,
Txndc16,0.499441581,8.461030315,,0.042649989,0.654085364,
Wac,0.466667894,8.564281699,,0.044585699,0.667066491,
Trappc2,0.474899091,8.497144256,,0.044587478,0.667066491,
Meg3,0.486132416,8.623427399,,0.044723009,0.667324749,
Actb,0.329052869,13.02629985,,0.044823034,0.667324749,
Gsn,0.463204609,8.673021576,,0.045256974,0.670259128,
Glul,0.491539249,8.840001853,,0.045330611,0.670259128,
Strn,0.416254555,8.918701323,,0.0466172,0.677669485,
Sap18,-0.463571958,8.505800715,,0.04725441,0.677669485,
Oxct1,0.484245169,8.458357719,,0.047508601,0.677669485,
Serinc3,0.494398246,8.48771359,,0.0482862,0.680114747,
H2afz,0.343057727,9.173616623,,0.048431157,0.680114747,
Tmeff2,0.479852847,9.38128323,,0.048488805,0.680114747,
Atp6v0d1,0.420734825,8.688089684,,0.049279186,0.684756684,
Gp1bb,-0.480558701,8.643693258,,0.049867164,0.691878603,
Pet100,-0.39545916,8.765278651,,0.050039051,0.693214709,
Timp2,0.552726859,8.436180701,,0.050715985,0.696281888,
Ttyh1,0.556888382,8.596794468,,0.051153385,0.698106688,
Hacd3,0.491480808,8.441449422,,0.051246883,0.698343482,
Rac1,0.313203489,9.668446649,,0.051628307,0.701186438,
Prdx6,0.460196003,8.509213931,,0.05168488,0.701186438,
Bpgm,0.435355244,8.593594979,,0.052378702,0.705865322,
Txndc15,0.440004252,8.615817572,,0.052776032,0.705865322,
Mob4,0.356350381,8.902134578,,0.052992631,0.705865322,
Ube3a,0.386819168,8.864803037,,0.053136601,0.705865322,
Pebp1,0.303096401,9.552909671,,0.053239294,0.705865322,
Smarcb1,-0.398438212,8.732305172,,0.053422379,0.705865322,
Kazn,0.403245633,8.843284074,,0.053665122,0.705865322,
Kif1a,0.419192276,8.639514466,,0.054489603,0.705865322,
Gpr17,-0.305403469,10.35020006,,0.055144045,0.705865322,
Commd4,0.417537253,8.662976279,,0.056343215,0.705865322,
Eif4e,0.392872805,8.7632691,,0.056920225,0.705865322,
Emc4,-0.475594304,8.422152773,,0.05768508,0.705865322,
Ppfibp1,0.391435252,8.981837658,,0.057833205,0.705865322,
Fxr1,0.465006739,8.475137013,,0.058038318,0.705865322,
Erp44,0.46092506,8.478116837,,0.058426733,0.705865322,
Rab4a,0.488522147,8.455801883,,0.059191005,0.705865322,
Stard3nl,0.461573783,8.449470991,,0.059391433,0.705865322,
Srsf3,0.325618457,9.352969835,,0.059835405,0.705865322,
Epn2,0.415754025,8.800620936,,0.060317461,0.705865322,
Kif1bp,0.356189354,9.631135445,,0.060856594,0.705865322,
Cdk2ap1,0.451754447,8.561927528,,0.061248312,0.705865322,
Atp2a2,0.428147727,8.539356712,,0.06187627,0.705865322,
Prdx1,0.254586402,10.54332491,,0.062421639,0.705865322,
Cyfip2,0.35387248,9.021766983,,0.062595878,0.705865322,
Reep5,0.434980118,10.04875631,,0.062815749,0.705865322,
Psmd3,-0.458850108,8.441410166,,0.062887303,0.705865322,
6330403K07Rik,0.362626895,8.878732172,,0.063105203,0.705865322,
Tpd52,0.389709543,8.980155786,,0.063347357,0.705865322,
Ralgds,-0.419257029,8.67046795,,0.063561208,0.705865322,
Atp6v1f,0.354247914,8.965889772,,0.063582837,0.705865322,
Ctnnal1,0.43541528,8.54061373,,0.063651796,0.705865322,
Pcdh7,-0.349534416,9.137777798,,0.063995313,0.707641611,
Sec11c,-0.432411145,8.583169421,,0.06415591,0.707984576,
Slc35b1,-0.463654712,8.419725254,,0.065021583,0.710272236,
Cyb5a,0.337497696,9.336283571,,0.065075837,0.710272236,
Cryab,0.279205302,10.49872688,,0.066369477,0.712308349,
43345,0.344340575,9.10240207,,0.066574198,0.712308349,
Jtb,0.432684481,8.464275963,,0.067259989,0.712308349,
Hadha,0.43249609,8.485176291,,0.068165222,0.712308349,
Morf4l2,0.285962757,9.70767545,,0.068562867,0.712308349,
Slc22a23,0.370485997,8.721716952,,0.06879961,0.712308349,
Eif3d,0.438499051,8.476738304,,0.069329787,0.71295474,
Gpbp1,0.420559291,8.502669535,,0.069563218,0.71295474,
Sarnp,0.369303879,8.847153677,,0.069633083,0.71295474,
Tra2a,0.37110408,8.731487614,,0.070254985,0.71295474,
Rhog,0.474809994,8.42148496,,0.070526744,0.713908134,
Rpl14,0.245996767,10.4639844,,0.07140784,0.718071597,
Syt11,0.276445753,9.823790976,,0.073310953,0.728160105,
Cmtm5,0.474581317,8.667955618,,0.073430792,0.728160105,
Wasf1,0.3343699,9.163317502,,0.073487518,0.728160105,
Rras2,0.586701113,8.581377292,,0.073730583,0.728160105,
Adipor1,0.436039798,8.452267179,,0.07389546,0.728160105,
Caprin1,0.407824731,8.612749413,,0.073938812,0.728160105,
Rpl12,0.35313792,8.886977647,,0.074818922,0.728160105,
Rab11fip2,-0.463620811,8.404844394,,0.074848826,0.728160105,
Ppp1r16b,0.368737054,10.11135207,,0.074985873,0.728160105,
Pfdn5,0.329941788,9.0321202,,0.075281253,0.728160105,
Txnl1,0.407502974,8.566228965,,0.076478643,0.728160105,
Mpzl1,0.264325995,10.76575994,,0.077203256,0.728160105,
Lmbrd1,0.464352135,8.467742468,,0.077567324,0.728160105,
Rps27a,0.246070227,10.34975951,,0.077939837,0.728160105,
Elavl3,0.434653842,9.127044609,,0.079098239,0.732737323,
Krcc1,-0.4160752,8.519353416,,0.080060012,0.739409043,
Fau,0.260476759,9.819865961,,0.080140943,0.739409043,
Fabp5,0.384614709,9.515215119,,0.080462507,0.739851078,
Tomm20,0.281935291,9.535504517,,0.08067289,0.739851078,
Elovl1,0.472346131,8.422244859,,0.080989673,0.741273742,
Tubb2a,0.335027684,9.100944345,,0.081625335,0.745572297,
Sri,-0.355825274,8.80322636,,0.082294928,0.745572297,
Nabp2,0.40873011,8.517986613,,0.082840233,0.745572297,
Adamts4,0.456307241,9.226630609,,0.083340814,0.747134511,
Ggnbp2,0.435380793,8.41278584,,0.084169124,0.748413029,
Slain1,0.377509442,8.704145937,,0.0843811,0.748413029,
Stip1,0.416611008,8.422387282,,0.085260666,0.752151395,
Cnksr3,0.487804021,8.613298876,,0.085315229,0.752151395,
Gabarapl2,0.295469119,9.187997488,,0.086260793,0.752151395,
Spcs1,0.299497192,9.161527408,,0.086322279,0.752151395,
Rap1a,0.32296777,9.604771616,,0.086711406,0.752151395,
App,0.305706262,10.57003894,,0.087014248,0.752151395,
Tulp4,0.420697412,8.472372932,,0.087290421,0.752151395,
Arhgap5,0.305170802,9.461931667,,0.087355725,0.752151395,
Eif1,0.223556112,10.75398162,,0.088133362,0.752151395,
C1ql1,-0.394614242,8.997442855,,0.08826537,0.752151395,
Ctsd,0.338994324,8.867433665,,0.088480742,0.752151395,
Pdia6,0.324503119,9.070740679,,0.088552355,0.752151395,
Rpl24,0.234239809,10.1888641,,0.088777144,0.752151395,
Rps10,0.285793241,9.350135067,,0.088784427,0.752151395,
Cd63,0.28662267,9.838655248,,0.088793983,0.752151395,
Llph,0.40876661,8.485008387,,0.089559115,0.754277356,
N6amt2,0.413852356,8.446507057,,0.08959133,0.754277356,
Mobp,0.551553538,9.259938682,,0.089825066,0.754277356,
Kcnj10,0.352126814,8.926814801,,0.089878888,0.754277356,
Ptprz1,-0.338346929,9.100100978,,0.090263777,0.754277356,
Fscn1,0.3720373,9.738507194,,0.090325709,0.754277356,
Lcorl,0.328289865,9.004362837,,0.090774066,0.754277356,
