tsne.TSNE.1,tsne.TSNE.2
-2.201832329,-2.764990513
-25.74696669,-11.53633065
26.22712764,21.17614949
-46.80699974,-5.082047581
-13.02641924,26.9430251
10.29933285,13.08318294
3.494491823,24.29157851
3.923771539,-16.92137672
-26.09861409,4.77328908
-17.58449294,25.34632936
14.72474504,-6.773425435
-21.55702308,-21.43532092
-21.04156768,-19.46117794
-42.90340875,0.196623345
-15.5047629,-30.61113745
-7.510693895,-22.96646453
12.87946744,-8.715005939
-11.88610456,-30.37053151
-25.00383257,15.69409163
10.05715413,10.03858764
-46.60157698,-4.850023532
2.392772332,-0.755007534
1.273937815,-24.99075953
-6.304942417,32.36043493
-10.92591196,9.141863436
-46.31750338,-1.440580954
18.97634503,7.710956964
-0.875391427,-51.28389616
3.493968644,-0.325785246
-20.86389813,-28.07665258
-10.501674,-18.16408633
-12.23108475,-30.07483572
21.50156601,27.83402195
-16.11939894,22.34770363
-31.41951875,12.54347699
1.34128645,-11.50808241
-11.61251679,-27.9864843
-26.78921544,17.94535698
3.777477519,-16.02176361
-5.525415337,29.79355715
30.41265194,-19.59541409
-46.22853367,-4.128807272
-13.86891298,20.72529096
46.89446704,7.281781341
-11.8458371,-16.503802
-7.351925677,25.60986021
-14.52135835,-32.65862776
-27.10881348,-7.724210956
14.88519224,-4.599598004
1.404710947,-23.90332934
12.53951313,-37.2053571
29.33355256,-19.6270027
35.79299882,0.923198864
-7.012345709,25.80118848
-25.20151326,18.29294974
-21.23499287,-21.15969012
39.37387799,1.898187319
-2.015644312,21.26902659
10.25670001,12.88350291
-10.37502446,-26.3138128
13.04740383,-25.89536245
-12.3555183,-30.98566313
19.05635893,18.15921662
19.94191483,16.03978186
-3.522759138,27.3503347
31.59904551,-8.289931491
-8.216438288,16.86441738
-27.45050437,-0.68849057
-3.311260294,33.33888613
-6.584927057,28.71401446
12.40152421,-12.9846361
-14.7277495,-18.66520767
-1.027244128,24.66218557
27.05805696,-19.8497563
-5.364252829,18.9253633
-14.41943163,-11.00900306
21.44550397,18.00628321
-16.6975874,-22.79897354
-2.162726659,31.86825928
-12.54365275,16.0675534
13.62281716,-25.81277623
-20.83294757,-2.804929323
-5.412769388,31.74954344
-24.92038592,17.91346062
-11.56616058,-15.74146628
39.71809641,1.529163185
-18.35027565,-27.56683171
31.12155475,-11.36772909
32.61117835,-18.7485415
9.526735872,-9.427746087
11.58306206,-7.830032886
-13.42697541,-28.07865481
5.172826259,-44.02528941
-18.02755496,-15.13589198
-20.16907362,-24.57095339
36.95006172,0.102293398
38.80421741,-2.006515936
11.85408862,38.90712816
-18.69495123,-28.62043699
-8.800068075,33.37927943
13.7322027,-32.27821328
22.60574746,8.587547136
8.764893974,41.09261037
-24.88776542,-9.406256518
-8.655089191,15.41037883
-13.36636096,6.67695273
12.56647597,-3.59072971
20.88521939,9.154379785
-11.51247541,11.15899046
17.9713419,-11.65131204
36.92796322,-9.082595329
-43.46433103,1.913352468
-12.84085573,-13.20524993
-10.66858682,-28.4328029
1.739513096,13.73499347
-7.773548382,26.29170001
-4.535074282,-6.566142472
-16.0959132,6.634504865
3.802745739,3.985492325
2.456112373,0.783455702
3.530766268,3.507873816
-4.679888665,21.23599149
-8.376888315,-28.39145495
2.911024954,-0.405740082
31.30714274,-20.9425198
-2.262023062,30.4413903
-10.08378974,6.060887677
33.93435443,0.122892676
-13.47985791,-31.85014764
12.96969086,-35.23855498
-8.89894876,-27.08341905
-10.10136753,-18.80986966
-3.60896047,31.33172776
-42.65129178,6.165980134
13.62839489,38.7846021
-7.469482082,26.75800096
12.72793953,-26.54835247
30.33391912,-8.693054264
-26.30724045,-8.456178622
-4.043004856,-4.967341248
-0.676782184,28.58030856
-28.09571687,2.440650401
33.53952347,-7.454425412
8.982334472,-39.24557692
-13.04504025,26.50360058
39.71862815,-3.363816662
1.472197818,1.365234309
-46.53430263,-4.136118558
14.62421051,-5.789519566
30.70822376,-16.36476242
-18.49416413,14.80794957
-16.89869097,11.68140949
4.89723072,21.15221082
19.88462439,16.01918821
-7.721649787,-29.38129593
-5.903119178,20.9369235
16.34274934,-8.020093503
-42.5277457,4.05701773
10.09269473,12.13429665
-24.85824979,15.04431257
-4.688407438,28.65775121
-23.8217092,20.25837541
-0.387123521,-0.838616902
23.7540464,20.19077506
